2026-07-01 20:03:59.090 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:03:59.473 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:03:59.473 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:03:59.892 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-07-01 20:03:59.896 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 955 -> หลัง 0
2026-07-01 20:03:59.896 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3740, 15)
2026-07-01 20:03:59.896 | INFO     | src.data_pipeline.feature_engineer:generate_features:13 - เริ่มสร้าง Technical & Cross-Asset Features...
2026-07-01 20:04:00.042 | INFO     | src.data_pipeline.feature_engineer:generate_target:81 - สร้าง Target: วิ่งเกิน 0.5 ATR ภายใน 3 แท่งถัดไป
2026-07-01 20:04:00.049 | DEBUG    | src.data_pipeline.feature_engineer:generate_target:103 - Drop NaN (ช่วงก่อตัว Indicator & ท้ายตาราง): 3740 -> 3541 rows
2026-07-01 20:04:00.107 | SUCCESS  | __main__:main:51 - Phase 3 เสร็จสมบูรณ์! Dataset Shape: (3541, 42)
2026-07-01 20:04:00.107 | SUCCESS  | __main__:main:52 - จำนวน Feature ทั้งหมด: 40 Features
2026-07-01 20:04:00.154 | INFO     | __main__:main:70 - เตรียมข้อมูล X (Features) และ y (Target)...
2026-07-01 20:04:00.155 | INFO     | __main__:main:84 - จำนวน Features ทั้งหมดที่จะเข้าโมเดล: 31
2026-07-01 20:04:00.155 | INFO     | src.ml_engine.lgb_trainer:optimize_and_train:62 - เริ่มกระบวนการ Optuna Hyperparameter Tuning (LightGBM)...
2026-07-01 20:04:03.047 | SUCCESS  | src.ml_engine.lgb_trainer:optimize_and_train:72 - ค้นพบ Best Params: {'learning_rate': 0.021089488841676773, 'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 182, 'feature_fraction': 0.8914303507488148, 'bagging_fraction': 0.6015321032995491, 'reg_alpha': 7.361511859992727, 'reg_lambda': 3.7537932931405305, 'objective': 'binary', 'verbosity': -1}
2026-07-01 20:04:03.047 | INFO     | src.ml_engine.lgb_trainer:optimize_and_train:75 - กำลัง Train โมเดลรอบสุดท้ายด้วย Best Params...
